codigo_identificacao_cliente;codigo_segmento;codigo_tipo_pessoa;cnpj;numero_agencia;numero_conta_corrente;numero_digito_verificador
00263ytu-5bc3-3c6a-9933-efe63d58d044;;1;859991792;25;22247;9
00263ytu-5bc3-3c6a-9933-efe63d58d045;;1;859991796;26;22248;3
00263ytu-5bc3-3c6a-9933-efe63d58d046;;1;859991800;27;22249;8
00263ytu-5bc3-3c6a-9933-efe63d58d047;;1;859991804;28;22250;3
00263ytu-5bc3-3c6a-9933-efe63d58d048;;1;859991808;29;22251;3
00263ytu-5bc3-3c6a-9933-efe63d58d049;;1;859991812;30;22252;7
00263ytu-5bc3-3c6a-9933-efe63d58d050;;1;859991816;31;22253;8
00263ytu-5bc3-3c6a-9933-efe63d58d051;;1;859991820;32;22254;1
00263ytu-5bc3-3c6a-9933-efe63d58d052;;1;859991824;33;22255;4
00263ytu-5bc3-3c6a-9933-efe63d58d053;;1;859991828;34;22256;7
00263ytu-5bc3-3c6a-9933-efe63d58d054;;1;859991832;35;22257;8
00263ytu-5bc3-3c6a-9933-efe63d58d055;;1;859991836;36;22258;7
00263ytu-5bc3-3c6a-9933-efe63d58d056;;1;859991840;37;22259;9
00263ytu-5bc3-3c6a-9933-efe63d58d057;;1;859991844;38;22260;5
00263ytu-5bc3-3c6a-9933-efe63d58d058;;1;859991848;39;22261;2
00263ytu-5bc3-3c6a-9933-efe63d58d059;;1;859991852;40;22262;3
00263ytu-5bc3-3c6a-9933-efe63d58d060;;1;859991856;41;22263;5
00263ytu-5bc3-3c6a-9933-efe63d58d061;;1;859991860;42;22264;5
00263ytu-5bc3-3c6a-9933-efe63d58d062;;1;859991864;43;22265;3
00263ytu-5bc3-3c6a-9933-efe63d58d063;;1;859991868;44;22266;5
00263ytu-5bc3-3c6a-9933-efe63d58d064;;1;859991872;45;22267;7
00263ytu-5bc3-3c6a-9933-efe63d58d065;;1;859991876;46;22268;9
00263ytu-5bc3-3c6a-9933-efe63d58d066;;1;859991880;47;22269;0
00263ytu-5bc3-3c6a-9933-efe63d58d067;;1;859991884;48;22270;5
00263ytu-5bc3-3c6a-9933-efe63d58d068;;1;859991888;49;22271;6
00263ytu-5bc3-3c6a-9933-efe63d58d069;;1;859991892;50;22272;2
00263ytu-5bc3-3c6a-9933-efe63d58d070;;1;859991896;51;22273;4
00263ytu-5bc3-3c6a-9933-efe63d58d071;;1;859991900;52;22274;6
00263ytu-5bc3-3c6a-9933-efe63d58d072;;1;859991904;53;22275;0
00263ytu-5bc3-3c6a-9933-efe63d58d073;;1;859991908;54;22276;3
00263ytu-5bc3-3c6a-9933-efe63d58d074;;1;859991912;55;22277;6
00263ytu-5bc3-3c6a-9933-efe63d58d075;;1;859991916;56;22278;7
00263ytu-5bc3-3c6a-9933-efe63d58d076;;1;859991920;57;22279;3
00263ytu-5bc3-3c6a-9933-efe63d58d077;;1;859991924;58;22280;6
00263ytu-5bc3-3c6a-9933-efe63d58d078;;1;859991928;59;22281;1
00263ytu-5bc3-3c6a-9933-efe63d58d079;;1;859991932;60;22282;9
00263ytu-5bc3-3c6a-9933-efe63d58d080;;1;859991936;61;22283;2
00263ytu-5bc3-3c6a-9933-efe63d58d081;;1;859991940;62;22284;8
00263ytu-5bc3-3c6a-9933-efe63d58d082;;1;859991944;63;22285;8
00263ytu-5bc3-3c6a-9933-efe63d58d083;;1;859991948;64;22286;0
00263ytu-5bc3-3c6a-9933-efe63d58d084;;1;859991952;65;22287;7
00263ytu-5bc3-3c6a-9933-efe63d58d085;;1;859991956;66;22288;8
00263ytu-5bc3-3c6a-9933-efe63d58d086;;1;859991960;67;22289;6
00263ytu-5bc3-3c6a-9933-efe63d58d087;;1;859991964;68;22290;0
00263ytu-5bc3-3c6a-9933-efe63d58d088;;1;859991968;69;22291;0
00263ytu-5bc3-3c6a-9933-efe63d58d089;;1;859991972;70;22292;4
00263ytu-5bc3-3c6a-9933-efe63d58d090;;1;859991976;71;22293;6
00263ytu-5bc3-3c6a-9933-efe63d58d091;;1;859991980;72;22294;0
00263ytu-5bc3-3c6a-9933-efe63d58d092;;1;859991984;73;22295;8
00263ytu-5bc3-3c6a-9933-efe63d58d093;;1;859991988;74;22296;6
00263ytu-5bc3-3c6a-9933-efe63d58d094;;1;859991992;75;22297;6
00263ytu-5bc3-3c6a-9933-efe63d58d095;;1;859991996;76;22298;0
00263ytu-5bc3-3c6a-9933-efe63d58d096;;1;859992000;77;22299;1
00263ytu-5bc3-3c6a-9933-efe63d58d097;;1;859992004;78;22300;2
00263ytu-5bc3-3c6a-9933-efe63d58d098;;1;859992008;79;22301;4
00263ytu-5bc3-3c6a-9933-efe63d58d099;;1;859992012;80;22302;3
00263ytu-5bc3-3c6a-9933-efe63d58d100;;1;859992016;81;22303;9
00263ytu-5bc3-3c6a-9933-efe63d58d101;;1;859992020;82;22304;5
00263ytu-5bc3-3c6a-9933-efe63d58d102;;1;859992024;83;22305;6
00263ytu-5bc3-3c6a-9933-efe63d58d103;;1;859992028;84;22306;1
00263ytu-5bc3-3c6a-9933-efe63d58d104;;1;859992032;85;22307;1
00263ytu-5bc3-3c6a-9933-efe63d58d105;;1;859992036;86;22308;9
00263ytu-5bc3-3c6a-9933-efe63d58d106;;1;859992040;87;22309;8
00263ytu-5bc3-3c6a-9933-efe63d58d107;;1;859992044;88;22310;3
00263ytu-5bc3-3c6a-9933-efe63d58d108;;1;859992048;89;22311;6
00263ytu-5bc3-3c6a-9933-efe63d58d109;;1;859992052;90;22312;4
00263ytu-5bc3-3c6a-9933-efe63d58d110;;1;859992056;91;22313;8
00263ytu-5bc3-3c6a-9933-efe63d58d111;;1;859992060;92;22314;3
00263ytu-5bc3-3c6a-9933-efe63d58d112;;1;859992064;93;22315;4
00263ytu-5bc3-3c6a-9933-efe63d58d113;;1;859992068;94;22316;0
00263ytu-5bc3-3c6a-9933-efe63d58d114;;1;859992072;95;22317;9
00263ytu-5bc3-3c6a-9933-efe63d58d115;;1;859992076;96;22318;0
00263ytu-5bc3-3c6a-9933-efe63d58d116;;1;859992080;97;22319;9
00263ytu-5bc3-3c6a-9933-efe63d58d117;;1;859992084;98;22320;1
00263ytu-5bc3-3c6a-9933-efe63d58d118;;1;859992088;99;22321;2
00263ytu-5bc3-3c6a-9933-efe63d58d119;;1;859992092;100;22322;0
00263ytu-5bc3-3c6a-9933-efe63d58d120;;1;859992096;101;22323;6
00263ytu-5bc3-3c6a-9933-efe63d58d121;;1;859992100;102;22324;3
00263ytu-5bc3-3c6a-9933-efe63d58d122;;1;859992104;103;22325;5
00263ytu-5bc3-3c6a-9933-efe63d58d123;;1;859992108;104;22326;1
00263ytu-5bc3-3c6a-9933-efe63d58d124;;1;859992112;105;22327;0
00263ytu-5bc3-3c6a-9933-efe63d58d125;;1;859992116;106;22328;1
00263ytu-5bc3-3c6a-9933-efe63d58d126;;1;859992120;107;22329;8
00263ytu-5bc3-3c6a-9933-efe63d58d127;;1;859992124;108;22330;2
00263ytu-5bc3-3c6a-9933-efe63d58d128;;1;859992128;109;22331;7
00263ytu-5bc3-3c6a-9933-efe63d58d129;;1;859992132;110;22332;9
00263ytu-5bc3-3c6a-9933-efe63d58d130;;1;859992136;111;22333;0
00263ytu-5bc3-3c6a-9933-efe63d58d131;;1;859992140;112;22334;6
00263ytu-5bc3-3c6a-9933-efe63d58d132;;1;859992144;113;22335;1
00263ytu-5bc3-3c6a-9933-efe63d58d133;;1;859992148;114;22336;8
00263ytu-5bc3-3c6a-9933-efe63d58d134;;1;859992152;115;22337;0
00263ytu-5bc3-3c6a-9933-efe63d58d135;;1;859992156;116;22338;6
00263ytu-5bc3-3c6a-9933-efe63d58d136;;1;859992160;117;22339;1
00263ytu-5bc3-3c6a-9933-efe63d58d137;;1;859992164;118;22340;4
00263ytu-5bc3-3c6a-9933-efe63d58d138;;1;859992168;119;22341;4
00263ytu-5bc3-3c6a-9933-efe63d58d139;;1;859992172;120;22342;2
00263ytu-5bc3-3c6a-9933-efe63d58d140;;1;859992176;121;22343;9
00263ytu-5bc3-3c6a-9933-efe63d58d141;;1;859992180;122;22344;8
00263ytu-5bc3-3c6a-9933-efe63d58d142;;1;859992184;123;22345;3
00263ytu-5bc3-3c6a-9933-efe63d58d143;;1;859992188;124;22346;8
00263ytu-5bc3-3c6a-9933-efe63d58d144;;1;859992192;125;22347;9
00263ytu-5bc3-3c6a-9933-efe63d58d145;;1;859992196;126;22348;0
00263ytu-5bc3-3c6a-9933-efe63d58d146;;1;859992200;127;22349;7
00263ytu-5bc3-3c6a-9933-efe63d58d147;;1;859992204;128;22350;6
00263ytu-5bc3-3c6a-9933-efe63d58d148;;1;859992208;129;22351;4
00263ytu-5bc3-3c6a-9933-efe63d58d149;;1;859992212;130;22352;7
00263ytu-5bc3-3c6a-9933-efe63d58d150;;1;859992216;131;22353;0
00263ytu-5bc3-3c6a-9933-efe63d58d151;;1;859992220;132;22354;2
00263ytu-5bc3-3c6a-9933-efe63d58d152;;1;859992224;133;22355;2
00263ytu-5bc3-3c6a-9933-efe63d58d153;;1;859992228;134;22356;3
00263ytu-5bc3-3c6a-9933-efe63d58d154;;1;859992232;135;22357;4
00263ytu-5bc3-3c6a-9933-efe63d58d155;;1;859992236;136;22358;9
00263ytu-5bc3-3c6a-9933-efe63d58d156;;1;859992240;137;22359;3
00263ytu-5bc3-3c6a-9933-efe63d58d157;;1;859992244;138;22360;3
00263ytu-5bc3-3c6a-9933-efe63d58d158;;1;859992248;139;22361;4
00263ytu-5bc3-3c6a-9933-efe63d58d159;;1;859992252;140;22362;2
00263ytu-5bc3-3c6a-9933-efe63d58d160;;1;859992256;141;22363;7
00263ytu-5bc3-3c6a-9933-efe63d58d161;;1;859992260;142;22364;5
00263ytu-5bc3-3c6a-9933-efe63d58d162;;1;859992264;143;22365;4
00263ytu-5bc3-3c6a-9933-efe63d58d163;;1;859992268;144;22366;2
00263ytu-5bc3-3c6a-9933-efe63d58d164;;1;859992272;145;22367;6
00263ytu-5bc3-3c6a-9933-efe63d58d165;;1;859992276;146;22368;7
00263ytu-5bc3-3c6a-9933-efe63d58d166;;1;859992280;147;22369;6
00263ytu-5bc3-3c6a-9933-efe63d58d167;;1;859992284;148;22370;3
00263ytu-5bc3-3c6a-9933-efe63d58d168;;1;859992288;149;22371;9
00263ytu-5bc3-3c6a-9933-efe63d58d169;;1;859992292;150;22372;0
00263ytu-5bc3-3c6a-9933-efe63d58d170;;1;859992296;151;22373;4
00263ytu-5bc3-3c6a-9933-efe63d58d171;;1;859992300;152;22374;7
00263ytu-5bc3-3c6a-9933-efe63d58d172;;1;859992304;153;22375;8
00263ytu-5bc3-3c6a-9933-efe63d58d173;;1;859992308;154;22376;4
00263ytu-5bc3-3c6a-9933-efe63d58d174;;1;859992312;155;22377;5
00263ytu-5bc3-3c6a-9933-efe63d58d175;;1;859992316;156;22378;5
00263ytu-5bc3-3c6a-9933-efe63d58d176;;1;859992320;157;22379;5
00263ytu-5bc3-3c6a-9933-efe63d58d177;;1;859992324;158;22380;6
00263ytu-5bc3-3c6a-9933-efe63d58d178;;1;859992328;159;22381;1
00263ytu-5bc3-3c6a-9933-efe63d58d179;;1;859992332;160;22382;1
00263ytu-5bc3-3c6a-9933-efe63d58d180;;1;859992336;161;22383;2
00263ytu-5bc3-3c6a-9933-efe63d58d181;;1;859992340;162;22384;9
00263ytu-5bc3-3c6a-9933-efe63d58d182;;1;859992344;163;22385;1
00263ytu-5bc3-3c6a-9933-efe63d58d183;;1;859992348;164;22386;8
00263ytu-5bc3-3c6a-9933-efe63d58d184;;1;859992352;165;22387;8
00263ytu-5bc3-3c6a-9933-efe63d58d185;;1;859992356;166;22388;6
00263ytu-5bc3-3c6a-9933-efe63d58d186;;1;859992360;167;22389;7
00263ytu-5bc3-3c6a-9933-efe63d58d187;;1;859992364;168;22390;4
00263ytu-5bc3-3c6a-9933-efe63d58d188;;1;859992368;169;22391;6
00263ytu-5bc3-3c6a-9933-efe63d58d189;;1;859992372;170;22392;9
00263ytu-5bc3-3c6a-9933-efe63d58d190;;1;859992376;171;22393;8
00263ytu-5bc3-3c6a-9933-efe63d58d191;;1;859992380;172;22394;3
00263ytu-5bc3-3c6a-9933-efe63d58d192;;1;859992384;173;22395;8
00263ytu-5bc3-3c6a-9933-efe63d58d193;;1;859992388;174;22396;0
00263ytu-5bc3-3c6a-9933-efe63d58d194;;1;859992392;175;22397;3
00263ytu-5bc3-3c6a-9933-efe63d58d195;;1;859992396;176;22398;0
00263ytu-5bc3-3c6a-9933-efe63d58d196;;1;859992400;177;22399;5
00263ytu-5bc3-3c6a-9933-efe63d58d197;;1;859992404;178;22400;0
00263ytu-5bc3-3c6a-9933-efe63d58d198;;1;859992408;179;22401;7
00263ytu-5bc3-3c6a-9933-efe63d58d199;;1;859992412;180;22402;4
00263ytu-5bc3-3c6a-9933-efe63d58d200;;1;859992416;181;22403;5
00263ytu-5bc3-3c6a-9933-efe63d58d201;;1;859992420;182;22404;8
00263ytu-5bc3-3c6a-9933-efe63d58d202;;1;859992424;183;22405;0
00263ytu-5bc3-3c6a-9933-efe63d58d203;;1;859992428;184;22406;0
00263ytu-5bc3-3c6a-9933-efe63d58d204;;1;859992432;185;22407;5
00263ytu-5bc3-3c6a-9933-efe63d58d205;;1;859992436;186;22408;2
00263ytu-5bc3-3c6a-9933-efe63d58d206;;1;859992440;187;22409;4
00263ytu-5bc3-3c6a-9933-efe63d58d207;;1;859992444;188;22410;6
00263ytu-5bc3-3c6a-9933-efe63d58d208;;1;859992448;189;22411;1
00263ytu-5bc3-3c6a-9933-efe63d58d209;;1;859992452;190;22412;5
00263ytu-5bc3-3c6a-9933-efe63d58d210;;1;859992456;191;22413;5
00263ytu-5bc3-3c6a-9933-efe63d58d211;;1;859992460;192;22414;6
00263ytu-5bc3-3c6a-9933-efe63d58d212;;1;859992464;193;22415;1
00263ytu-5bc3-3c6a-9933-efe63d58d213;;1;859992468;194;22416;9
00263ytu-5bc3-3c6a-9933-efe63d58d214;;1;859992472;195;22417;2
00263ytu-5bc3-3c6a-9933-efe63d58d215;;1;859992476;196;22418;3
00263ytu-5bc3-3c6a-9933-efe63d58d216;;1;859992480;197;22419;4
00263ytu-5bc3-3c6a-9933-efe63d58d217;;1;859992484;198;22420;2
00263ytu-5bc3-3c6a-9933-efe63d58d218;;1;859992488;199;22421;4
00263ytu-5bc3-3c6a-9933-efe63d58d219;;1;859992492;200;22422;8
00263ytu-5bc3-3c6a-9933-efe63d58d220;;1;859992496;201;22423;0
00263ytu-5bc3-3c6a-9933-efe63d58d221;;1;859992500;202;22424;8
00263ytu-5bc3-3c6a-9933-efe63d58d222;;1;859992504;203;22425;4
00263ytu-5bc3-3c6a-9933-efe63d58d223;;1;859992508;204;22426;9
00263ytu-5bc3-3c6a-9933-efe63d58d224;;1;859992512;205;22427;5
00263ytu-5bc3-3c6a-9933-efe63d58d225;;1;859992516;206;22428;7
00263ytu-5bc3-3c6a-9933-efe63d58d226;;1;859992520;207;22429;1
00263ytu-5bc3-3c6a-9933-efe63d58d227;;1;859992524;208;22430;1
00263ytu-5bc3-3c6a-9933-efe63d58d228;;1;859992528;209;22431;7
00263ytu-5bc3-3c6a-9933-efe63d58d229;;1;859992532;210;22432;4
00263ytu-5bc3-3c6a-9933-efe63d58d230;;1;859992536;211;22433;9
00263ytu-5bc3-3c6a-9933-efe63d58d231;;1;859992540;212;22434;1
00263ytu-5bc3-3c6a-9933-efe63d58d232;;1;859992544;213;22435;6
00263ytu-5bc3-3c6a-9933-efe63d58d233;;1;859992548;214;22436;5
00263ytu-5bc3-3c6a-9933-efe63d58d234;;1;859992552;215;22437;8
00263ytu-5bc3-3c6a-9933-efe63d58d235;;1;859992556;216;22438;0
00263ytu-5bc3-3c6a-9933-efe63d58d236;;1;859992560;217;22439;4
00263ytu-5bc3-3c6a-9933-efe63d58d237;;1;859992564;218;22440;1
00263ytu-5bc3-3c6a-9933-efe63d58d238;;1;859992568;219;22441;0
00263ytu-5bc3-3c6a-9933-efe63d58d239;;1;859992572;220;22442;6
00263ytu-5bc3-3c6a-9933-efe63d58d240;;1;859992576;221;22443;8
00263ytu-5bc3-3c6a-9933-efe63d58d241;;1;859992580;222;22444;0
00263ytu-5bc3-3c6a-9933-efe63d58d242;;1;859992584;223;22445;2
00263ytu-5bc3-3c6a-9933-efe63d58d243;;1;859992588;224;22446;8
00263ytu-5bc3-3c6a-9933-efe63d58d244;;1;859992592;225;22447;4
00263ytu-5bc3-3c6a-9933-efe63d58d245;;1;859992596;226;22448;7
00263ytu-5bc3-3c6a-9933-efe63d58d246;;1;859992600;227;22449;4
00263ytu-5bc3-3c6a-9933-efe63d58d247;;1;859992604;228;22450;4
00263ytu-5bc3-3c6a-9933-efe63d58d248;;1;859992608;229;22451;2
00263ytu-5bc3-3c6a-9933-efe63d58d249;;1;859992612;230;22452;5
00263ytu-5bc3-3c6a-9933-efe63d58d250;;1;859992616;231;22453;6
00263ytu-5bc3-3c6a-9933-efe63d58d251;;1;859992620;232;22454;6
00263ytu-5bc3-3c6a-9933-efe63d58d252;;1;859992624;233;22455;2
00263ytu-5bc3-3c6a-9933-efe63d58d253;;1;859992628;234;22456;1
00263ytu-5bc3-3c6a-9933-efe63d58d254;;1;859992632;235;22457;6
00263ytu-5bc3-3c6a-9933-efe63d58d255;;1;859992636;236;22458;4
00263ytu-5bc3-3c6a-9933-efe63d58d256;;1;859992640;237;22459;4
00263ytu-5bc3-3c6a-9933-efe63d58d257;;1;859992644;238;22460;1
00263ytu-5bc3-3c6a-9933-efe63d58d258;;1;859992648;239;22461;7
00263ytu-5bc3-3c6a-9933-efe63d58d259;;1;859992652;240;22462;8
00263ytu-5bc3-3c6a-9933-efe63d58d260;;1;859992656;241;22463;8
00263ytu-5bc3-3c6a-9933-efe63d58d261;;1;859992660;242;22464;8
00263ytu-5bc3-3c6a-9933-efe63d58d262;;1;859992664;243;22465;4
00263ytu-5bc3-3c6a-9933-efe63d58d263;;1;859992668;244;22466;5
00263ytu-5bc3-3c6a-9933-efe63d58d264;;1;859992672;245;22467;0
00263ytu-5bc3-3c6a-9933-efe63d58d265;;1;859992676;246;22468;1
00263ytu-5bc3-3c6a-9933-efe63d58d266;;1;859992680;247;22469;6
00263ytu-5bc3-3c6a-9933-efe63d58d267;;1;859992684;248;22470;5
00263ytu-5bc3-3c6a-9933-efe63d58d268;;1;859992688;249;22471;6
00263ytu-5bc3-3c6a-9933-efe63d58d269;;1;859992692;250;22472;6
00263ytu-5bc3-3c6a-9933-efe63d58d270;;1;859992696;251;22473;1
00263ytu-5bc3-3c6a-9933-efe63d58d271;;1;859992700;252;22474;8
00263ytu-5bc3-3c6a-9933-efe63d58d272;;1;859992704;253;22475;4
00263ytu-5bc3-3c6a-9933-efe63d58d273;;1;859992708;254;22476;9
00263ytu-5bc3-3c6a-9933-efe63d58d274;;1;859992712;255;22477;9
00263ytu-5bc3-3c6a-9933-efe63d58d275;;1;859992716;256;22478;4
00263ytu-5bc3-3c6a-9933-efe63d58d276;;1;859992720;257;22479;3
00263ytu-5bc3-3c6a-9933-efe63d58d277;;1;859992724;258;22480;8
00263ytu-5bc3-3c6a-9933-efe63d58d278;;1;859992728;259;22481;9
00263ytu-5bc3-3c6a-9933-efe63d58d279;;1;859992732;260;22482;7
00263ytu-5bc3-3c6a-9933-efe63d58d280;;1;859992736;261;22483;4
00263ytu-5bc3-3c6a-9933-efe63d58d281;;1;859992740;262;22484;6
00263ytu-5bc3-3c6a-9933-efe63d58d282;;1;859992744;263;22485;2
00263ytu-5bc3-3c6a-9933-efe63d58d283;;1;859992748;264;22486;0
00263ytu-5bc3-3c6a-9933-efe63d58d284;;1;859992752;265;22487;7
00263ytu-5bc3-3c6a-9933-efe63d58d285;;1;859992756;266;22488;4
00263ytu-5bc3-3c6a-9933-efe63d58d286;;1;859992760;267;22489;2
00263ytu-5bc3-3c6a-9933-efe63d58d287;;1;859992764;268;22490;2
00263ytu-5bc3-3c6a-9933-efe63d58d288;;1;859992768;269;22491;9
00263ytu-5bc3-3c6a-9933-efe63d58d289;;1;859992772;270;22492;6
00263ytu-5bc3-3c6a-9933-efe63d58d290;;1;859992776;271;22493;8
00263ytu-5bc3-3c6a-9933-efe63d58d291;;1;859992780;272;22494;6
00263ytu-5bc3-3c6a-9933-efe63d58d292;;1;859992784;273;22495;4
00263ytu-5bc3-3c6a-9933-efe63d58d293;;1;859992788;274;22496;4
00263ytu-5bc3-3c6a-9933-efe63d58d294;;1;859992792;275;22497;2
00263ytu-5bc3-3c6a-9933-efe63d58d295;;1;859992796;276;22498;8
00263ytu-5bc3-3c6a-9933-efe63d58d296;;1;859992800;277;22499;1
00263ytu-5bc3-3c6a-9933-efe63d58d297;;1;859992804;278;22500;4
00263ytu-5bc3-3c6a-9933-efe63d58d298;;1;859992808;279;22501;4
00263ytu-5bc3-3c6a-9933-efe63d58d299;;1;859992812;280;22502;2
00263ytu-5bc3-3c6a-9933-efe63d58d300;;1;859992816;281;22503;6
00263ytu-5bc3-3c6a-9933-efe63d58d301;;1;859992820;282;22504;5
00263ytu-5bc3-3c6a-9933-efe63d58d302;;1;859992824;283;22505;1
00263ytu-5bc3-3c6a-9933-efe63d58d303;;1;859992828;284;22506;2
00263ytu-5bc3-3c6a-9933-efe63d58d304;;1;859992832;285;22507;8
00263ytu-5bc3-3c6a-9933-efe63d58d305;;1;859992836;286;22508;6
00263ytu-5bc3-3c6a-9933-efe63d58d306;;1;859992840;287;22509;6
00263ytu-5bc3-3c6a-9933-efe63d58d307;;1;859992844;288;22510;2
00263ytu-5bc3-3c6a-9933-efe63d58d308;;1;859992848;289;22511;3
00263ytu-5bc3-3c6a-9933-efe63d58d309;;1;859992852;290;22512;6
00263ytu-5bc3-3c6a-9933-efe63d58d310;;1;859992856;291;22513;1
00263ytu-5bc3-3c6a-9933-efe63d58d311;;1;859992860;292;22514;0
00263ytu-5bc3-3c6a-9933-efe63d58d312;;1;859992864;293;22515;6
00263ytu-5bc3-3c6a-9933-efe63d58d313;;1;859992868;294;22516;0
00263ytu-5bc3-3c6a-9933-efe63d58d314;;1;859992872;295;22517;8
00263ytu-5bc3-3c6a-9933-efe63d58d315;;1;859992876;296;22518;8
00263ytu-5bc3-3c6a-9933-efe63d58d316;;1;859992880;297;22519;2
00263ytu-5bc3-3c6a-9933-efe63d58d317;;1;859992884;298;22520;1
00263ytu-5bc3-3c6a-9933-efe63d58d318;;1;859992888;299;22521;9
00263ytu-5bc3-3c6a-9933-efe63d58d319;;1;859992892;300;22522;8
00263ytu-5bc3-3c6a-9933-efe63d58d320;;1;859992896;301;22523;9
00263ytu-5bc3-3c6a-9933-efe63d58d321;;1;859992900;302;22524;6
00263ytu-5bc3-3c6a-9933-efe63d58d322;;1;859992904;303;22525;5
00263ytu-5bc3-3c6a-9933-efe63d58d323;;1;859992908;304;22526;2
00263ytu-5bc3-3c6a-9933-efe63d58d324;;1;859992912;305;22527;6
00263ytu-5bc3-3c6a-9933-efe63d58d325;;1;859992916;306;22528;1
00263ytu-5bc3-3c6a-9933-efe63d58d326;;1;859992920;307;22529;8
00263ytu-5bc3-3c6a-9933-efe63d58d327;;1;859992924;308;22530;5
00263ytu-5bc3-3c6a-9933-efe63d58d328;;1;859992928;309;22531;6
00263ytu-5bc3-3c6a-9933-efe63d58d329;;1;859992932;310;22532;8
00263ytu-5bc3-3c6a-9933-efe63d58d330;;1;859992936;311;22533;1
00263ytu-5bc3-3c6a-9933-efe63d58d331;;1;859992940;312;22534;5
00263ytu-5bc3-3c6a-9933-efe63d58d332;;1;859992944;313;22535;0
00263ytu-5bc3-3c6a-9933-efe63d58d333;;1;859992948;314;22536;5
00263ytu-5bc3-3c6a-9933-efe63d58d334;;1;859992952;315;22537;5
00263ytu-5bc3-3c6a-9933-efe63d58d335;;1;859992956;316;22538;8
00263ytu-5bc3-3c6a-9933-efe63d58d336;;1;859992960;317;22539;0
00263ytu-5bc3-3c6a-9933-efe63d58d337;;1;859992964;318;22540;4
00263ytu-5bc3-3c6a-9933-efe63d58d338;;1;859992968;319;22541;1
00263ytu-5bc3-3c6a-9933-efe63d58d339;;1;859992972;320;22542;6
00263ytu-5bc3-3c6a-9933-efe63d58d340;;1;859992976;321;22543;0
00263ytu-5bc3-3c6a-9933-efe63d58d341;;1;859992980;322;22544;6
00263ytu-5bc3-3c6a-9933-efe63d58d342;;1;859992984;323;22545;6
00263ytu-5bc3-3c6a-9933-efe63d58d343;;1;859992988;324;22546;0
00263ytu-5bc3-3c6a-9933-efe63d58d344;;1;859992992;325;22547;4
00263ytu-5bc3-3c6a-9933-efe63d58d345;;1;859992996;326;22548;4
00263ytu-5bc3-3c6a-9933-efe63d58d346;;1;859993000;327;22549;5
00263ytu-5bc3-3c6a-9933-efe63d58d347;;1;859993004;328;22550;3
00263ytu-5bc3-3c6a-9933-efe63d58d348;;1;859993008;329;22551;4
00263ytu-5bc3-3c6a-9933-efe63d58d349;;1;859993012;330;22552;9
00263ytu-5bc3-3c6a-9933-efe63d58d350;;1;859993016;331;22553;8
00263ytu-5bc3-3c6a-9933-efe63d58d351;;1;859993020;332;22554;5
00263ytu-5bc3-3c6a-9933-efe63d58d352;;1;859993024;333;22555;6
00263ytu-5bc3-3c6a-9933-efe63d58d353;;1;859993028;334;22556;1
00263ytu-5bc3-3c6a-9933-efe63d58d354;;1;859993032;335;22557;7
00263ytu-5bc3-3c6a-9933-efe63d58d355;;1;859993036;336;22558;3
00263ytu-5bc3-3c6a-9933-efe63d58d356;;1;859993040;337;22559;4
00263ytu-5bc3-3c6a-9933-efe63d58d357;;1;859993044;338;22560;3
